Jugador;Minutos;Puntos;Triples;Rebotes;Asistencias;Perdidas;Robos;Tapones
Johnny Juzang;232.3;87;15;39;8;3;4;3
Dalen Terry;213.9;85;7;37;22;8;11;5
David Duke Jr.;228;85;1;29;21;18;10;1
Nikola Jovic;204.5;82;8;31;10;10;7;2
Kennedy Chandler;281.5;78;2;38;58;18;12;5
Peyton Watson;186.1;75;6;37;11;8;2;11
Kemba Walker;143.9;72;7;16;19;4;2;2
Luka Samanic;160.8;69;8;30;15;10;6;2
Serge Ibaka;185.4;66;6;44;4;11;2;7
Danny Green;138.7;61;16;14;6;10;6;3
Jeff Dowtin Jr.;258.7;61;5;23;31;5;9;3
Moussa Diabate;195.5;59;1;50;4;9;7;8
Mamadi Diakite;175.9;57;7;30;8;12;4;9
A.J. Lawson;108.3;56;10;21;2;3;2;0
Quenton Jackson;134.6;56;1;8;15;4;4;1
Jonathan Isaac;124;55;6;44;6;4;14;4
Jeenathan Williams;126.6;53;3;15;10;4;3;2
Trent Forrest;277;52;0;37;38;15;7;2
James Johnson;162.4;51;3;30;15;8;7;6
Jay Huff;94.9;51;6;21;10;5;3;4
Thanasis Antetokounmpo;206.2;51;0;44;15;12;3;3
Garrett Temple;161.8;50;11;17;13;4;9;2
Lindell Wigginton;86.7;50;6;7;14;12;0;2
Daniel Theis;108.8;49;2;22;9;3;2;6
Matthew Dellavedova;212.8;47;9;13;41;10;7;0
Josh Minott;96.2;46;2;25;5;3;4;6
KZ Okpala;248;46;7;34;13;7;7;7
Jared Rhoden;197.9;45;5;37;4;3;4;1
John Butler Jr.;221.1;45;8;17;11;1;7;9
Dru Smith;158.4;44;5;24;22;3;10;4
Jarrett Culver;136.9;44;1;38;6;7;6;2
Otto Porter Jr.;146.3;44;6;19;8;4;11;0
Shaquille Harrison;119.9;44;3;22;30;6;11;2
Alex Len;161.2;43;0;60;12;16;4;11
Khem Birch;161.8;43;1;25;7;8;5;5
Meyers Leonard;113.7;43;7;34;1;6;2;0
Jaden Springer;89.3;42;2;14;8;3;7;3
Wendell Moore Jr.;152.7;42;2;18;18;8;8;5
Jason Preston;123.8;41;5;22;27;10;2;0
Omer Yurtseven;83.2;40;3;23;2;4;2;2
Xavier Cooks;125.8;38;0;38;6;8;6;4
Jared Butler;76.5;37;7;4;8;5;5;0
Olivier Sarr;113.6;36;1;31;4;4;1;5
Vit Krejci;165.4;36;5;26;17;5;5;1
Cody Martin;133.7;35;3;24;11;2;4;1
Nerlens Noel;194.7;35;1;46;10;13;16;10
Isaiah Mobley;84.2;31;3;20;3;1;4;3
